id;start_date;end_date;language
239b545d-e2e3-40b6-a0d4-d4bd3a24d234;2021-03-12T20:42:28;2021-03-12T17:51:28;ENGLISH
10805925-7b19-4c57-961d-b1c8b30ff3ce;2021-03-12T05:28:20;2021-03-12T17:19:20;SPANISH
9c2ebb12-d250-463f-a6b5-037238f9e8ca;2021-03-11T22:31:37;2021-03-12T11:30:29;SPANISH
e770eba8-f762-4981-96d3-59efc67813f0;2021-03-12T04:02:02;2021-03-12T08:24:46;FRENCH
52739212-7c8f-44c1-86c9-93f9cb6a4f20;2021-03-11T23:33:48;2021-03-12T06:33:26;SPANISH
43759fea-acd9-47bd-bef7-e4b9f3e1e9ff;2021-03-12T09:25:56;2021-03-12T03:04:39;SPANISH
9f918407-2db3-49aa-837f-12a2f461fb74;2021-03-12T17:54:26;2021-03-12T05:45:10;ENGLISH
ff48ec77-c4d1-4d92-88d4-fc84ddb16ed5;2021-03-12T08:48:51;2021-03-12T05:23:10;FRENCH
1ebfeeda-76b6-4666-90f3-b3c6a06c4f3a;2021-03-11T22:48:14;2021-03-12T05:57:27;FRENCH
fe59c9ba-7d4b-404c-8ab1-a585a6ce243b;2021-03-12T15:12:17;2021-03-12T14:37:22;FRENCH
